timestamp;mouse_id;zone_idx;event
2025-11-08T05:54:35;Souris-01;6;enter
2025-11-08T05:54:35;Souris-06;6;enter
2025-11-08T05:54:49;Souris-03;7;enter
2025-11-08T05:54:49;Souris-04;7;enter
2025-11-08T05:54:49;Souris-01;6;leave
2025-11-08T05:54:49;Souris-06;6;leave
2025-11-08T05:54:50;Souris-05;1;enter
2025-11-08T05:54:50;Souris-01;3;enter
2025-11-08T05:54:50;Souris-08;3;enter
2025-11-08T05:54:50;Souris-02;7;enter
2025-11-08T05:54:50;Souris-03;7;stay
2025-11-08T05:54:50;Souris-04;7;stay
2025-11-08T05:54:50;Souris-06;0;enter
2025-11-08T05:54:50;Souris-07;0;enter
2025-11-08T05:54:51;Souris-06;0;stay
2025-11-08T05:54:51;Souris-05;1;stay
2025-11-08T05:54:51;S;3;enter
2025-11-08T05:54:51;Souris-01;3;stay
2025-11-08T05:54:51;Souris-08;3;stay
2025-11-08T05:54:51;Souris-07;0;leave
2025-11-08T05:54:51;Souris-07;4;enter
2025-11-08T05:54:51;Souris-02;7;stay
2025-11-08T05:54:51;Souris-07;4;stay
2025-11-08T05:54:51;S;3;leave
2025-11-08T05:54:52;Souris-07;4;leave
2025-11-08T05:54:53;Souris-04;7;leave
2025-11-08T05:54:53;Souris-04;4;enter
2025-11-08T05:54:53;Souris-07;4;enter
2025-11-08T05:54:54;Souris-04;4;stay
2025-11-08T05:54:54;Souris-07;4;stay
2025-11-08T05:54:54;Souris-08;3;leave
2025-11-08T05:54:54;Souris-08;7;enter
2025-11-08T05:54:55;Souris-01;3;leave
2025-11-08T05:54:55;Souris-08;7;leave
2025-11-08T05:54:55;Souris-02;7;leave
2025-11-08T05:54:55;Souris-03;7;leave
2025-11-08T05:54:55;Souris-04;4;leave
2025-11-08T05:54:55;Souris-07;4;leave
2025-11-08T06:24:57;Souris-07;1;enter
2025-11-08T06:24:58;Souris-03;4;enter
2025-11-08T06:24:58;Souris-05;4;enter
2025-11-08T06:24:58;Souris-01;7;enter
2025-11-08T06:24:58;Souris-07;1;stay
2025-11-08T06:24:58;Souris-02;2;enter
2025-11-08T06:24:58;Souris-06;2;enter
2025-11-08T06:24:58;Souris-08;2;enter
2025-11-08T06:24:58;Souris-04;5;enter
2025-11-08T06:24:58;Souris-02;2;stay
2025-11-08T06:24:58;Souris-06;2;stay
2025-11-08T06:24:58;Souris-08;2;stay
2025-11-08T06:24:58;Souris-03;4;stay
2025-11-08T06:24:58;Souris-05;4;stay
2025-11-08T06:24:58;Souris-04;5;stay
2025-11-08T06:24:58;Souris-01;7;leave
2025-11-08T06:24:59;Souris-01;7;enter
2025-11-08T06:24:59;Souris-01;7;stay
2025-11-08T06:25:01;Souris-03;4;leave
2025-11-08T06:25:01;Souris-03;1;enter
2025-11-08T06:25:01;Souris-02;2;leave
2025-11-08T06:25:01;Souris-06;2;leave
2025-11-08T06:25:01;Souris-08;2;leave
2025-11-08T06:25:01;Souris-04;5;leave
2025-11-08T06:25:01;Souris-05;4;leave
2025-11-08T06:25:01;Souris-05;0;enter
2025-11-08T06:25:01;Souris-01;7;leave
2025-11-08T06:25:01;Souris-01;1;enter
2025-11-08T06:25:01;Souris-03;1;stay
