2025-11-14 15:34:18 | INFO | app | Emission agrégée: {2: ['Souris-02', 'Souris-04', 'Souris-05'], 3: ['Souris-02', 'Souris-04', 'Souris-05'], 4: ['Souris-02', 'Souris-04', 'Souris-05'], 5: ['Souris-02', 'Souris-04', 'Souris-05'], 6: ['Souris-02', 'Souris-04', 'Souris-05'], 7: ['Souris-02', 'Souris-04', 'Souris-05'], 0: ['Souris-02', 'Souris-04', 'Souris-05'], 1: ['Souris-02', 'Souris-04', 'Souris-05']}
2025-11-14 15:34:18 | INFO | app | Emission agrégée: {2: ['Souris-02', 'Souris-04', 'Souris-05'], 3: ['Souris-02', 'Souris-04', 'Souris-05'], 4: ['Souris-02', 'Souris-04', 'Souris-05'], 5: ['Souris-02', 'Souris-04', 'Souris-05'], 6: ['Souris-02', 'Souris-04', 'Souris-05'], 7: ['Souris-02', 'Souris-04', 'Souris-05'], 0: ['Souris-02', 'Souris-04', 'Souris-05'], 1: ['Souris-02', 'Souris-04', 'Souris-05']}
2025-11-14 15:34:19 | INFO | app | Emission agrégée: {2: ['Souris-02', 'Souris-04', 'Souris-05'], 3: ['Souris-02', 'Souris-04', 'Souris-05'], 4: ['Souris-02', 'Souris-04', 'Souris-05'], 5: ['Souris-02', 'Souris-04', 'Souris-05'], 6: ['Souris-02', 'Souris-04', 'Souris-05'], 7: ['Souris-02', 'Souris-04', 'Souris-05'], 0: ['Souris-02', 'Souris-04', 'Souris-05'], 1: ['Souris-02', 'Souris-04', 'Souris-05']}
2025-11-14 15:34:19 | INFO | app | Emission agrégée: {1: ['Souris-02', 'Souris-04', 'Souris-05'], 2: ['Souris-02', 'Souris-04', 'Souris-05'], 3: ['Souris-02', 'Souris-04', 'Souris-05'], 4: ['Souris-02', 'Souris-04', 'Souris-05'], 5: ['Souris-02', 'Souris-04', 'Souris-05'], 6: ['Souris-02', 'Souris-04', 'Souris-05'], 7: ['Souris-02', 'Souris-04', 'Souris-05'], 0: ['Souris-02', 'Souris-04', 'Souris-05']}
2025-11-14 15:34:20 | INFO | app | Emission agrégée: {1: ['Souris-02', 'Souris-04', 'Souris-05'], 2: ['Souris-02', 'Souris-04', 'Souris-05'], 3: ['Souris-02', 'Souris-04', 'Souris-05'], 4: ['Souris-02', 'Souris-04', 'Souris-05'], 5: ['Souris-02', 'Souris-04', 'Souris-05'], 6: ['Souris-02', 'Souris-04', 'Souris-05'], 7: ['Souris-01', 'Souris-02', 'Souris-04', 'Souris-05'], 0: ['Souris-01', 'Souris-02', 'Souris-04', 'Souris-05']}
2025-11-14 15:34:21 | INFO | app | Emission agrégée: {1: ['Souris-01', 'Souris-02', 'Souris-04'], 2: ['Souris-01', 'Souris-02', 'Souris-04'], 3: ['Souris-01', 'Souris-02', 'Souris-04'], 4: ['Souris-01', 'Souris-02', 'Souris-04'], 5: ['Souris-01', 'Souris-02', 'Souris-04'], 6: ['Souris-01', 'Souris-02', 'Souris-04'], 7: ['Souris-01', 'Souris-02', 'Souris-04'], 0: ['Souris-01', 'Souris-02', 'Souris-04']}
2025-11-14 15:34:21 | INFO | app | Emission agrégée: {1: ['Souris-01', 'Souris-02', 'Souris-04'], 2: ['Souris-01', 'Souris-02', 'Souris-04'], 3: ['Souris-01', 'Souris-02', 'Souris-04'], 4: ['Souris-01', 'Souris-02', 'Souris-04'], 5: ['Souris-01', 'Souris-02', 'Souris-04'], 6: ['Souris-01', 'Souris-02', 'Souris-04'], 7: ['Souris-01', 'Souris-02', 'Souris-04'], 0: ['Souris-01', 'Souris-02', 'Souris-04']}
2025-11-14 15:34:22 | INFO | app | Emission agrégée: {0: ['Souris-01', 'Souris-02', 'Souris-04'], 1: ['Souris-01', 'Souris-02', 'Souris-04'], 2: ['Souris-01', 'Souris-02', 'Souris-04'], 3: ['Souris-01', 'Souris-02', 'Souris-04'], 4: ['Souris-01', 'Souris-02', 'Souris-04'], 5: ['Souris-01', 'Souris-02', 'Souris-04'], 6: ['Souris-01', 'Souris-02', 'Souris-04'], 7: ['Souris-01', 'Souris-02', 'Souris-04']}
2025-11-14 15:34:23 | INFO | app | Emission agrégée: {0: ['Souris-01', 'Souris-02', 'Souris-04'], 1: ['Souris-01', 'Souris-02', 'Souris-04'], 2: ['Souris-01', 'Souris-02', 'Souris-04'], 3: ['Souris-01', 'Souris-02', 'Souris-04'], 4: ['Souris-01', 'Souris-02', 'Souris-04'], 5: ['Souris-01', 'Souris-02', 'Souris-04'], 6: ['Souris-01', 'Souris-02', 'Souris-04'], 7: ['Souris-01', 'Souris-02', 'Souris-04']}
2025-11-14 15:34:23 | INFO | app | Emission agrégée: {0: ['Souris-01', 'Souris-02', 'Souris-04'], 1: ['Souris-01', 'Souris-02', 'Souris-04'], 2: ['Souris-01', 'Souris-02', 'Souris-04'], 3: ['Souris-01', 'Souris-02', 'Souris-04'], 4: ['Souris-01', 'Souris-02', 'Souris-04'], 5: ['Souris-01', 'Souris-02', 'Souris-03', 'Souris-04'], 6: ['Souris-01', 'Souris-02', 'Souris-03', 'Souris-04'], 7: ['Souris-01', 'Souris-02', 'Souris-03', 'Souris-04']}
